,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn
61,1/19/2012,2012.0,2014.0, OK,AEC,AEC,osage,Remington Substation,0,0,0,0,0,0,0,1,0,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
62,3/8/2018,2018.0,2020.0, MO,AEC,AEC,nodaway,Cooper to Fairport 345 kV,0,0,0,0,0,0,0,1,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64,6/7/2007,2007.0,2011.0, MO,AEC,AEC,schuyler,New High Prairie Substation on Queen City to Lancaster 69 kV line.,0,0,0,0,0,0,0,1,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67,11/19/2018,2018.0,2021.0, MO,AEC,AEC,new madrid,New Madrid to St Francis 345 kV,0,0,0,0,0,0,0,1,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
68,2/6/2018,2018.0,2020.0, MO,AEC,AEC,sullivan,Humphreys Substation,0,0,0,0,0,0,0,1,0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
69,6/17/2009,2009.0,2010.0, MO,AEC,AEC,clinton,Osborn 161 kV Bus,0,0,0,0,0,0,0,1,0,201.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
71,3/20/2015,2015.0,2016.0, MO,AEC,AEC,dekalb,Osborn 161 kV bus,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
73,10/25/2019,2019.0,2023.0, MO,AEC,AEC,clifton hill,Thomas Hill 161 kV,0,0,0,0,0,0,0,1,0,160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
74,8/25/2016,2016.0,2018.0, OK,AEC,AEC,osage,Remington to Shidler 138 kV,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
76,10/18/2015,2015.0,2016.0, MO,AEC,AEC,dekalb,Stewartsville 69 kV bus,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
79,5/24/2018,2018.0,2023.0, MO,AEC,AEC,jasper,Blackberry 345 kV,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
