,Unnamed: 0,q_date,q_year,prop_year,state,entity,utility,county_1,poi_name,region_CAISO,region_ERCOT,region_ISO-NE,region_MISO,region_NYISO,region_PJM,region_SPP,region_Southeast (non-ISO),region_West (non-ISO),total_mw,type1_Battery,type1_Biofuel,type1_Biogas,type1_Biomass,type1_Coal,type1_Diesel,type1_Flywheel,type1_Gas,type1_Geothermal,type1_Gravity Rail,type1_Hybrid,type1_Hydro,type1_Landfill,type1_Methane,type1_Nuclear,type1_Offshore Wind,type1_Oil,type1_Pumped Storage,type1_Solar,type1_Steam,type1_Waste Heat,type1_Wind,type1_Wood,ia_status_Facility Study,ia_status_Feasibility Study,ia_status_IA Executed,ia_status_Operational,ia_status_System Impact Study,ia_status_Withdrawn,tokens,OID_,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,OBJECTID,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,F_id,name,operator,operator_wikidata,power,substation,type,ORIG_FID,Lat,Long,STATE_ABBR,STATE_NAME,POP_SQMI,COUNTYNAME,LEGAL_NAME,CLASSCODE,LEGAL_DESC,CLASSCODE_DESC,GEOID,votes_dem,votes_rep,votes_total,votes_per_sqkm,pct_dem_lead,solar_ann_ghi_rn,SymbolID,avg_wind_speed_meters_per_second,tokens
20,79,5/24/2018,2018.0,2023.0,MO,AEC,AEC,jasper,Blackberry 345 kV,0,0,0,0,0,0,0,1,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,blackberry,32035,1,30338,1,30338,30338,0,30338,1,30338,way/569474702,Blackberry Substation,Associated Electric Cooperative,Q1419248,substation,transmission,multipolygon,30338,37.33222649,-94.60954662,MO,Missouri,88.3,jasper,Jasper County,H1,County,An active county or equivalent feature,,,,,,,4.4,,3.7096882,blackberry
21,81,1/7/2022,2022.0,2024.0,MO,AEC,AEC,new madrid,New Madrid - St Francis 345kV,0,0,0,0,0,0,0,1,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,new,20712,1,9357,1,9357,9357,0,9357,1,9357,way/168241735,New Madrid Substation,Associated Electric Cooperative,Q6840876,substation,transmission,multipolygon,9357,36.51563499,-89.56768587,MO,Missouri,88.3,new madrid,New Madrid County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.9469337,new
22,9439,4/29/2019,2019.0,2024.0,MO,MISO,Ameren Missouri,ralls,Maywood - Spencer Creek 345 kV Line Tap,0,0,0,1,0,0,0,0,0,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,maywood,32212,1,30749,1,30749,30749,0,30749,1,30749,way/584482034,Maywood Substation,Ameren,Q462984,substation,transmission,multipolygon,30749,39.8367263,-91.59513365,MO,Missouri,88.3,marion,Marion County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.6272876,maywood
23,9571,3/12/2018,2018.0,2021.0,MO,MISO,Ameren Missouri,boone,Overton - McCredie 345 kV Line Tap,0,0,0,1,0,0,0,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,overton,20375,1,8686,1,8686,8686,0,8686,1,8686,way/164215232,Overton 345kV Substation,Ameren,Q462984,substation,transmission,multipolygon,8686,38.92442636,-92.5748437,MO,Missouri,88.3,cooper,Cooper County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.1909652,overton
24,9789,3/12/2018,2018.0,2021.0,MO,MISO,Ameren Transmission Company of Illinois,adair,Zachary Substation 345 kV Bus,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,zachary,40245,1,43586,1,43586,43586,0,43586,1,43586,way/1021070530,Zachary Substation,Ameren,Q462984,substation,transmission,multipolygon,43586,40.15173045,-92.59867214,MO,Missouri,88.3,adair,Adair County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.7383802,zachary
25,9876,3/12/2018,2018.0,2021.0,MO,MISO,Ameren Missouri,callaway,Overton - (McCrede) - Montgomery 345 kV Line Tap,0,0,0,1,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,overton,20375,1,8686,1,8686,8686,0,8686,1,8686,way/164215232,Overton 345kV Substation,Ameren,Q462984,substation,transmission,multipolygon,8686,38.92442636,-92.5748437,MO,Missouri,88.3,cooper,Cooper County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.1909652,overton
26,9913,3/15/2021,2021.0,2024.0,MO,MISO,Ameren Missouri,bollinger,St. Francois to Lutesville 345 kV,0,0,0,1,0,0,0,0,0,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,st.,1306,1,4550,1,4550,4550,0,4550,1,4550,way/104477440,St. Joseph Substation,Evergy,Q7987107,substation,transmission,multipolygon,4550,39.84407252,-94.7946756,MO,Missouri,88.3,andrew,Andrew County,H1,County,An active county or equivalent feature,,,,,,,4.2,,3.5993302,st.
27,10105,3/12/2018,2018.0,2023.0,MO,MISO,Ameren Transmission Company of Illinois,knox,Zachary - Maywood 345 kV Line Tap,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,zachary,40245,1,43586,1,43586,43586,0,43586,1,43586,way/1021070530,Zachary Substation,Ameren,Q462984,substation,transmission,multipolygon,43586,40.15173045,-92.59867214,MO,Missouri,88.3,adair,Adair County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.7383802,zachary
28,10135,5/9/2016,2016.0,2020.0,MO,MISO,Ameren Transmission Company of Illinois,adair,Zachary to Ottumwa 345kV tap,0,0,0,1,0,0,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,zachary,40245,1,43586,1,43586,43586,0,43586,1,43586,way/1021070530,Zachary Substation,Ameren,Q462984,substation,transmission,multipolygon,43586,40.15173045,-92.59867214,MO,Missouri,88.3,adair,Adair County,H1,County,An active county or equivalent feature,,,,,,,4.1,,3.7383802,zachary
29,10140,10/27/2022,2022.0,2023.0,MO,MISO,Ameren Illinois,audrain,Ameren Centralia 69 kV Substation,0,0,0,1,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,ameren,49277,1,55473,1,55473,55473,0,55473,1,55473,way/1210569575,Ameren UE Sub Station,Nashville Electric Service,Q6966967,substation,switching,multipolygon,55473,37.21836181,-89.52339963,MO,Missouri,88.3,scott,Scott County,H1,County,An active county or equivalent feature,,,,,,,4.3,,3.1378088,ameren
